label_true	label_predicted	Danish	Dutch	English	Finnish	French	German	Hungarian	Italian	Japanese	Korean	Mandarin	Polish	Portuguese	Russian	Spanish	Swedish	Turkish	Estonian	Arabic	Basque	Catalan
Danish	Finnish	0.5391444	0.12783472	0.2042006	0.6832956	0.05149234	0.15032238	0.0035222252	0.045773454	0.07935209	0.04861634	0.11025814	0.046284307	0.03691249	0.30310926	0.073406786	0.13767211	0.015849212	0.10376561	0.068104416	0.016155854	0.0240389
Korean	Korean	0.014837668	0.0032024677	0.0024412707	0.0021833433	0.0072112097	0.0023552722	0.011514884	0.022427404	0.0096798735	0.9985199	0.022487024	0.0063619833	0.0040468294	0.0038768305	0.0067927777	0.012355947	0.02253084	0.0005295212	0.024409229	0.0068223267	0.0018713875
Mandarin	Mandarin	0.0061125457	0.24870941	0.08287553	0.0032821759	0.26220468	0.2294128	0.0069823773	0.42134583	0.033203483	0.011664307	0.57056266	0.01349353	0.17159972	0.21523607	0.21114136	0.15622696	0.3116588	0.061584838	0.13824935	0.18662766	0.07533291
German	German	0.11483557	0.20340933	0.1633076	0.0109208645	0.40584514	0.51741225	0.008030258	0.26850927	0.092161976	0.008895352	0.19923809	0.017578736	0.10794217	0.16281489	0.26305553	0.25456408	0.18653902	0.023601169	0.19878486	0.30627117	0.15700673
Hungarian	Hungarian	0.00055675785	0.0095423935	0.006855718	0.0035786584	0.006143501	0.0030925078	0.99961144	0.006766741	0.005033394	0.0007119802	0.0011668738	0.0026529673	0.0033225706	0.01061069	0.017921165	0.0038599307	0.00092936936	0.0011461824	0.0021221058	0.00430715	0.0036859354
Danish	Danish	0.9732289	0.02921825	0.016467158	0.12604545	0.005799157	0.041253693	0.02019993	0.00964162	0.018659303	0.030892618	0.010192291	0.05243863	0.021483509	0.013660942	0.016948866	0.11923627	0.012311199	0.023817206	0.11573719	0.007510338	0.009874695
Korean	Finnish	0.15081157	0.035094243	0.03752562	0.7553384	0.04464038	0.026770515	0.18152279	0.08128222	0.12644519	0.44308257	0.028046044	0.18817155	0.04398167	0.09852597	0.039687056	0.25720382	0.08453021	0.0643294	0.14673665	0.029645305	0.015584122
Finnish	Finnish	0.005327263	0.02557293	0.04331249	0.98463494	0.019532098	0.014610559	0.0076624625	0.055723026	0.029633004	0.08854997	0.009758624	0.0036106221	0.029919997	0.0150682675	0.10123612	0.05600738	0.014469648	0.019625545	0.012177265	0.005750553	0.008103755
Dutch	Dutch	0.012747627	0.63303703	0.05938841	0.39719546	0.06595512	0.0766723	0.004589049	0.036289666	0.036914837	0.0103283655	0.008946898	0.026188705	0.030729355	0.6317987	0.11827592	0.06595771	0.0072178845	0.0035521674	0.0738729	0.0032420023	0.004738968
Estonian	Spanish	0.0025651422	0.009225798	0.001939495	0.019758563	0.0072093015	0.0028342635	0.00016759145	0.11751803	0.0035384584	0.00039194908	0.001431414	0.00067203166	0.01325233	0.035105202	0.69348204	0.0026563746	0.0082055675	0.6121706	0.011170932	0.31191048	0.17624691
Russian	Polish	0.2548196	0.078786254	0.07995944	0.017224409	0.2279351	0.10225149	0.014201752	0.10196797	0.0035592506	0.013270656	0.019977177	0.7732342	0.12086521	0.42543155	0.14351553	0.10842301	0.09443624	0.021019937	0.0063586254	0.038591214	0.10880774
Polish	Polish	0.0036458268	0.0061194235	0.0073842574	0.011206343	0.0038251854	0.03684033	0.00013065033	0.0012252306	0.0009161491	0.0006410588	0.00021893546	0.997249	0.0121480925	0.057011146	0.010271697	0.006368986	0.0071836268	0.011453197	0.011920702	0.00061742926	0.004435304
Estonian	Catalan	0.00032403454	0.021622667	0.010844155	0.0031911994	0.04199906	0.02512246	0.00069201237	0.06866818	0.0033079349	0.00012379028	0.0010812581	0.0014648589	0.06052573	0.2332205	0.3798496	0.004762843	0.0145372795	0.6174524	0.0013861085	0.04840987	0.6372689
Turkish	Turkish	9.66218e-05	0.08411281	0.24411736	5.2970085e-05	0.20052803	0.025034165	4.4791395e-05	0.100284524	0.0008523621	0.00012429566	0.0024707962	9.923739e-05	0.039461754	0.018177595	0.024699353	0.0046070484	0.9274712	0.0041306093	0.008612276	0.02529591	0.13775638
Italian	Danish	0.6963014	0.08677732	0.06698735	0.009962354	0.037932817	0.19026849	0.6407673	0.049106613	0.013114449	0.047168598	0.007687438	0.06667995	0.07225655	0.047015835	0.012383561	0.09686413	0.121152714	0.0031182603	0.11624485	0.016245607	0.008843336
Korean	Korean	0.052036446	0.17356475	0.081543185	0.091613404	0.21065381	0.07045538	0.25245947	0.14327171	0.140811	0.6382659	0.024706177	0.22454393	0.08444615	0.17626874	0.31277812	0.27974147	0.27675602	0.017772084	0.21182404	0.054620452	0.035105295
Estonian	Estonian	0.00045899153	0.008892621	0.0005897149	0.0057252194	0.001834572	0.004283054	0.00019825171	0.022973448	0.000351338	3.8985916e-05	5.90874e-05	0.0008070562	0.0013641634	0.049899645	0.027171206	0.0026465862	0.0011191436	0.9977702	0.00045582568	0.013627039	0.019169595
Basque	Basque	0.00078802725	0.008979463	0.00877532	0.00095886586	0.06138471	0.0079136845	0.00039441438	0.1357346	0.018954717	0.0007973155	0.002414105	0.0008411073	0.04603002	0.098259754	0.15701464	0.013578176	0.08373752	0.3505676	0.023188982	0.8498051	0.2966342
French	French	0.0021137951	0.09103746	0.027789243	0.0010236884	0.86755157	0.0141909765	0.004004362	0.06984704	0.0741742	0.0033330484	0.020788869	0.0042669484	0.23662876	0.16728748	0.03567921	0.0071127955	0.37234172	0.0115812225	0.039224472	0.011747752	0.0384504
Japanese	Basque	0.0014842771	0.035039626	0.014579958	0.0036914477	0.09114206	0.016183808	0.00024796813	0.25887266	0.38457903	0.004528096	0.079884134	0.0010407392	0.05733452	0.078730725	0.2638208	0.013921729	0.07498609	0.11322379	0.13356557	0.8039054	0.08263471
Korean	Korean	0.0058740745	0.000610688	0.00069738866	0.03835202	0.00097342744	0.00017999421	0.0043912544	0.011272046	0.0022905956	0.9990271	0.0017550399	0.0007222531	0.007770672	0.0006397911	0.008467089	0.007114036	0.003313416	0.0027920112	0.005603804	0.0066067907	0.0023714155
French	Russian	0.011586977	0.10344793	0.03011482	0.010048828	0.35654834	0.16070034	0.003969209	0.24099787	0.034742795	0.0032955736	0.014131215	0.0507432	0.13500027	0.629325	0.38675475	0.061097454	0.21218798	0.13095629	0.039570946	0.3295174	0.18223275
Turkish	Turkish	0.00819274	0.008760076	0.030294828	0.008701952	0.1084486	0.008938153	0.0010303373	0.0761004	0.0035138333	0.04793169	0.062008608	0.0058899815	0.11865111	0.13058668	0.06590835	0.0135170305	0.9620979	0.035500452	0.09862504	0.052192077	0.0062116464
French	Arabic	0.005528611	0.033495214	0.018841643	0.0012372416	0.4709953	0.025755119	0.00079776044	0.38618994	0.0211323	0.0020557165	0.046609003	0.0034329335	0.067851186	0.06975718	0.35166952	0.080709495	0.15163758	0.017339664	0.5985293	0.21006316	0.2426911
Arabic	Arabic	0.0026605225	0.00571401	0.0045443783	0.03397312	0.016945971	0.0062048836	0.00093127013	0.021403316	0.0154164	0.049443636	0.034225423	0.006155534	0.01128457	0.025187789	0.03175759	0.0144950375	0.06871248	0.045595594	0.9925584	0.01174004	0.0042826333
Dutch	Dutch	0.008739626	0.48939613	0.42530107	0.004006592	0.18551725	0.48577982	0.002622428	0.09020978	0.027181199	0.003952768	0.04011957	0.008283276	0.21036704	0.075180374	0.20535329	0.24689369	0.16125534	0.011919649	0.2780319	0.032897133	0.20243461
Korean	Korean	0.08912187	0.06079934	0.052265786	0.48108274	0.037384167	0.020985262	0.0541987	0.08718243	0.057236575	0.76334137	0.033124287	0.050404187	0.11405329	0.13746642	0.17969055	0.24443142	0.08270583	0.053313706	0.12192731	0.038923074	0.04694475
Hungarian	Hungarian	6.372327e-05	0.0005106046	0.0005762672	0.0033310195	5.0318384e-05	7.538895e-05	0.999989	0.0018126948	2.3716259e-05	9.378696e-06	3.936943e-06	3.6783218e-05	0.0008555842	0.00123511	0.00173293	0.0013131269	6.86933e-05	0.0002509112	7.199861e-05	8.0020014e-05	8.418703e-05
Russian	Polish	0.0554423	0.046921797	0.031080995	0.123907804	0.09820492	0.050356627	0.09094273	0.067660466	0.02099134	0.023441937	0.006545098	0.6722463	0.10467312	0.66112894	0.11501036	0.14355879	0.08348932	0.071580976	0.028191289	0.03626301	0.06588023
Spanish	French	0.002399814	0.5338805	0.23152004	0.0016772539	0.6380212	0.32113853	0.010738587	0.07317202	0.017362524	0.0015559882	0.013825948	0.0028160505	0.11657707	0.1661293	0.17221808	0.030889347	0.22073708	0.12152855	0.011278756	0.06312512	0.07602499
Polish	Polish	0.0029108457	0.024854606	0.009853187	0.00299725	0.023094201	0.0042617572	0.0013400103	0.01702587	0.0029874875	0.00070273585	9.816902e-05	0.99437016	0.041855343	0.08609863	0.018254358	0.0055589923	0.0057640215	0.006697442	0.0006164603	0.00048049548	0.005964278
Hungarian	Finnish	0.012152302	0.0333717	0.030789388	0.88247555	0.03943897	0.009366475	0.1877889	0.33661842	0.030018283	0.025797782	0.019969922	0.0046620686	0.030072404	0.027051887	0.21070175	0.13877338	0.007321866	0.018730978	0.014781784	0.016689247	0.025094552
Turkish	Russian	0.0027681417	0.1594118	0.052104037	0.0046402323	0.30066535	0.09590293	0.0018604267	0.123115584	0.024952974	0.001951273	0.0047891866	0.03604068	0.14790405	0.7915532	0.12422171	0.046638448	0.38230067	0.14669146	0.030552823	0.08731041	0.11344899
Japanese	Japanese	0.05995351	0.13727702	0.067677066	0.10481107	0.23735066	0.028994417	0.06276036	0.122112855	0.79801977	0.24521126	0.02989403	0.029304478	0.067553915	0.18006943	0.17664129	0.23784576	0.15346912	0.009115309	0.1746531	0.08772456	0.025607072
Catalan	Spanish	0.005291527	0.23228446	0.06773262	0.0039509665	0.33136368	0.23635708	0.000872019	0.25759047	0.09359838	0.0016338978	0.04899796	0.006364865	0.31418496	0.22432184	0.62067217	0.090609565	0.16705844	0.05885245	0.11408178	0.11683785	0.31252733
Mandarin	Mandarin	0.0003508267	0.010241661	0.08335006	7.213389e-05	0.03387058	0.013873066	0.00023675847	0.02332251	0.0019358627	0.00031690186	0.9950387	0.00030848428	0.018546166	0.013504618	0.008779058	0.0024810692	0.01493643	0.0011171	0.0037189343	0.0032058803	0.010007677
Japanese	Japanese	0.0007711708	0.018931886	0.0034587127	0.0005928064	0.01920245	0.00740014	9.582545e-05	0.013436047	0.9989657	0.0061605205	0.008951746	0.021240953	0.007181774	0.015212663	0.0042334865	0.0011865657	0.009143101	0.001151024	0.0074959123	0.008662732	0.0021172266
Japanese	Japanese	3.5814122e-05	0.002059104	0.00037437145	0.0014451962	0.0013755765	0.00016087678	5.8411333e-06	0.018983254	0.99980456	0.00023073387	0.00035414804	0.00025765912	0.0015807388	0.0022873871	0.0025248418	0.0003367528	0.001202596	9.494637e-05	0.00033639924	0.002449631	0.00026649275
Finnish	Finnish	0.0022018277	0.00038808383	0.00011088661	0.99996555	7.4385214e-05	4.5455636e-05	6.770003e-05	0.0036224744	0.0034491587	0.0019610252	9.672551e-05	0.000164041	0.00028641144	0.00031361877	0.0028740359	0.0012602994	3.7392536e-05	0.0025952074	5.431038e-05	0.0040958934	0.0012490506
Finnish	Finnish	0.16599813	0.010303794	0.015194403	0.96084076	0.0071313824	0.006418749	0.001875489	0.0502289	0.0043743625	0.021318728	0.0019371634	0.0009916838	0.014546805	0.065318815	0.19107018	0.038597126	0.0027422819	0.015360767	0.0032054808	0.04340257	0.034388583
Polish	Polish	0.0052331015	0.0016158967	0.0042793546	0.000748752	0.004822396	0.011240034	5.4491436e-05	0.0011076722	8.299615e-05	0.0012721847	0.00048822362	0.9951858	0.0040491126	0.096499175	0.0010688464	0.008125913	0.0020027773	0.00093732	0.0006821405	0.00032595827	0.0015596226
Estonian	Catalan	0.007716857	0.053243596	0.013536514	0.011830297	0.0464344	0.060564272	0.0019977435	0.09193823	0.0038105845	0.002345318	0.002391776	0.0078113102	0.08035544	0.1322235	0.4518522	0.07331843	0.047235023	0.5400263	0.029296195	0.38745943	0.55144006
Arabic	Basque	0.0063420106	0.05363124	0.02362467	0.001986364	0.3144855	0.049420632	0.0030740008	0.229559	0.014347575	0.0027208112	0.018072382	0.007362332	0.0892552	0.13495843	0.40703237	0.09219705	0.33340192	0.034650434	0.2818671	0.6527295	0.1538142
Danish	Arabic	0.2293272	0.17066216	0.027861156	0.17788836	0.21057957	0.08552629	0.01130296	0.084907025	0.22707023	0.09047205	0.026775561	0.32798195	0.13188651	0.290877	0.087865174	0.12517005	0.105457604	0.008646512	0.72218496	0.0146077275	0.021919731
Spanish	Italian	0.0036426072	0.035254277	0.016201053	0.0021987392	0.34049448	0.032086216	0.0020343005	0.5710244	0.01449578	0.0017785059	0.020139556	0.0065389117	0.104387745	0.31755257	0.50958294	0.01376538	0.21010193	0.060395516	0.06889719	0.33840388	0.12696747
Turkish	Arabic	0.0003071625	0.026631603	0.024393957	0.00036007195	0.091369584	0.012702183	0.0002316933	0.03169363	0.0014313852	0.00021318201	0.002776921	0.00017583181	0.054847848	0.033027474	0.05128681	0.32685128	0.12343817	0.0025229515	0.9255398	0.032311074	0.051949207
Basque	Basque	0.004536655	0.021499347	0.014026426	0.0013084799	0.067555085	0.029918196	0.0052020024	0.09861386	0.004552157	0.0011625055	0.0025864244	0.0046898616	0.024167426	0.044576697	0.1818426	0.042520016	0.050311223	0.03960268	0.05319447	0.94246644	0.22680269
French	French	0.0010294674	0.019245006	0.024424583	0.0002169045	0.9014856	0.026033713	0.00042296507	0.13155803	0.006638807	0.00044619408	0.020921838	0.0026032575	0.22929187	0.22646649	0.05134972	0.0068825665	0.21964025	0.0077876616	0.02714404	0.063974604	0.09057306
Korean	Korean	0.0025427612	0.00046034937	0.00073809613	0.0064817998	0.00067651714	0.00017557053	0.00068949425	0.00086513953	0.0015894751	0.9999702	0.0005726202	0.00097608456	0.000276861	0.0008164484	0.00035990187	0.0017091939	0.00081108	0.00034612726	0.00054236077	0.00022177986	9.772437e-05
Dutch	Spanish	0.011416521	0.42997167	0.27592766	0.026298031	0.17843013	0.0977812	0.0022574302	0.46860436	0.03460262	0.0150153795	0.054508183	0.0040058675	0.2579588	0.1457584	0.5654391	0.020347567	0.16313222	0.0855756	0.0090528205	0.1086423	0.137908
Danish	Danish	0.9934455	0.017303968	0.018448357	0.04501546	0.0023236307	0.05294875	0.0015259525	0.003568074	0.00043673595	0.0021400962	0.0022118639	0.012148227	0.013652947	0.024679543	0.01879827	0.07270833	0.0012480487	0.028229645	0.01277654	0.0014196297	0.004414393
Mandarin	Mandarin	0.004512888	0.012637717	0.007695578	0.0002699119	0.0030967798	0.011741525	3.5307054e-05	0.0027912327	0.003996051	0.0018547315	0.9997596	0.00016763734	0.0013576172	0.0017804963	0.0025588619	0.005795561	0.0033500432	0.0007228602	0.0022763775	0.002071448	0.0006220484
French	French	0.0044081574	0.15376103	0.29888412	0.0039222525	0.58927226	0.05138098	0.0030264365	0.33150348	0.04722248	0.004184582	0.18317452	0.0027408174	0.14657079	0.07205624	0.15898058	0.12979595	0.32366776	0.011711575	0.37224773	0.0732309	0.27160934
Danish	Danish	0.87510794	0.107409544	0.06655602	0.1722915	0.037261188	0.13010915	0.003759609	0.022625085	0.00533904	0.0106921885	0.005498563	0.11832322	0.05258812	0.3599843	0.04836838	0.12380372	0.023419486	0.02415631	0.065755375	0.0036828292	0.0053523816
Polish	Polish	0.0709089	0.077152744	0.02019849	0.35460693	0.013854654	0.03433685	0.38396427	0.11514478	0.03623268	0.052456167	0.009120878	0.49112126	0.051201757	0.15232249	0.17782253	0.41583928	0.019633884	0.4684197	0.059497666	0.020337896	0.03656072
Polish	Polish	0.021142397	0.13672937	0.03692249	0.0049832333	0.15719657	0.07702149	0.003685814	0.07448621	0.11617245	0.018048884	0.009075307	0.8136504	0.07993145	0.5047624	0.022719137	0.012097889	0.06537693	0.0044448976	0.0036385779	0.015195475	0.030973561
Dutch	Portuguese	0.1422335	0.32110086	0.1137807	0.13643418	0.09118271	0.28366527	0.009184592	0.026709197	0.009385969	0.011908693	0.009225351	0.4897646	0.4977181	0.36985484	0.20692098	0.24388441	0.06707774	0.04727732	0.03886481	0.0031541132	0.14238822
Italian	Italian	0.0034602438	0.23901261	0.34912273	0.004257295	0.264978	0.11220944	0.0010066638	0.6256834	0.050384544	0.003592009	0.012039807	0.0065564928	0.111002564	0.43905643	0.1931166	0.02048973	0.26423746	0.0287951	0.037623025	0.05742085	0.16050687
German	Arabic	0.0043784	0.47099024	0.11951466	0.00049529783	0.03274614	0.4426903	0.0026622268	0.015028699	0.014232995	0.0008303214	0.0050376337	0.001978395	0.0747532	0.07794984	0.058556493	0.12525618	0.099775255	0.052495383	0.713854	0.03617572	0.109376386
Hungarian	Finnish	0.01612209	0.11064326	0.0442293	0.87934947	0.016755335	0.018497845	0.21290311	0.12051069	0.030943898	0.038844746	0.003658146	0.004436104	0.030222075	0.057682097	0.16599587	0.34035426	0.012037773	0.0077993795	0.03588684	0.012727343	0.0046583125
French	French	0.00017193891	0.07102624	0.039197102	7.46478e-05	0.81240517	0.03428646	8.5412976e-05	0.07262292	0.0365217	0.00013543422	0.03170026	0.0002991895	0.15287969	0.5286608	0.047491837	0.0018781628	0.12716843	0.01657229	0.027682332	0.011755726	0.04651778
French	English	0.090941645	0.38484195	0.52031934	0.038753934	0.17299767	0.3332963	0.0666292	0.062938996	0.014105509	0.16327454	0.1303173	0.1365131	0.25587258	0.42957154	0.099019416	0.2057453	0.2034125	0.014623786	0.10909647	0.017559027	0.059678502
Portuguese	Swedish	0.016252935	0.0747369	0.057263993	0.19906777	0.12669091	0.025696212	0.059935667	0.12271192	0.019060126	0.19436523	0.019743513	0.023533173	0.27614415	0.3547595	0.24472274	0.58327526	0.51687944	0.014778031	0.08424062	0.003390924	0.00985391
Dutch	Dutch	0.0071396343	0.61664593	0.09852678	0.003594458	0.40562302	0.37021154	0.0014691523	0.15044235	0.08436218	0.0017060605	0.027258968	0.009756788	0.10610889	0.2939275	0.21170399	0.12634845	0.21153167	0.033330712	0.2302665	0.06510296	0.12745166
Mandarin	Mandarin	0.00074094505	0.015444529	0.00545171	0.00019154199	0.005782173	0.019418256	2.238442e-05	0.006003092	0.004348814	0.0011770191	0.999556	0.000118059404	0.0029145454	0.0044112257	0.0050623785	0.0025463614	0.008342933	0.0005912306	0.003050816	0.0032927578	0.0014153145
Korean	Korean	0.05960174	0.007823382	0.020577542	0.010732255	0.015939338	0.005143213	0.0034885122	0.010148766	0.018165506	0.9907802	0.100990854	0.023182744	0.012533763	0.041469198	0.0037116625	0.015786117	0.023655279	0.003304738	0.0042822664	0.0021639068	0.0026000757
Korean	Korean	0.008337432	0.00043419318	0.0009395676	0.0021868467	0.00058625307	0.00038676118	0.0021228397	0.0014330493	0.0007742401	0.9999395	0.0044510337	0.0014401894	0.0006991392	0.00079554995	0.00065298605	0.0029481677	0.0016014883	0.000117365555	0.0017077329	0.00052390905	0.00010243593
German	German	0.027574666	0.27085027	0.06537158	0.0119093815	0.0361098	0.8619554	0.0012122374	0.020107957	0.002316088	0.0074985097	0.01511749	0.15982506	0.01359729	0.37344486	0.027191462	0.03616539	0.036195453	0.068905756	0.022465996	0.047250345	0.02156058
Basque	Russian	0.0009264613	0.008260067	0.0067075007	0.00067042967	0.14284422	0.028632948	0.00040559762	0.16773744	0.0017838161	0.00049435446	0.0011225212	0.013284456	0.048742972	0.8890649	0.10934611	0.007720161	0.059222102	0.0958594	0.0028703895	0.3201341	0.17414097
Swedish	Swedish	0.0060945214	0.15266259	0.06110619	0.022518039	0.052690282	0.23018791	0.0018788145	0.04875796	0.047191035	0.0018110562	0.0023618261	0.011212229	0.043372616	0.065229096	0.12933716	0.93747777	0.03441419	0.023974236	0.06973184	0.02163594	0.055608805
Finnish	Finnish	0.06232763	0.0100209415	0.013698858	0.9777984	0.0073454604	0.004402712	0.0045832004	0.08636219	0.048946027	0.015629197	0.0026072818	0.0049854876	0.027883813	0.020169184	0.09230905	0.09114963	0.0054291314	0.06901129	0.024215795	0.06856527	0.037680935
Turkish	Turkish	0.057555977	0.15863824	0.04379681	0.02093201	0.2939019	0.06140986	0.14319833	0.07909761	0.078026704	0.06911352	0.025397908	0.23241082	0.09515257	0.36897376	0.057314243	0.4068437	0.65385467	0.047525782	0.2063284	0.010836995	0.01589655
Japanese	Japanese	0.017512579	0.09086928	0.021941073	0.092926025	0.084044404	0.01620283	0.101384476	0.10497769	0.8522733	0.020647569	0.017381039	0.038106333	0.029753018	0.12597181	0.10358627	0.122959346	0.13050435	0.15595904	0.36889237	0.06815712	0.021425871
Arabic	Arabic	0.005421931	0.022974141	0.004844188	0.00020380637	0.0040437994	0.025092611	0.00034157585	0.010444085	0.0003213558	4.4973243e-05	0.00028166562	4.948982e-05	0.006238721	0.008478916	0.016873937	0.023135787	0.0067057437	0.0033586374	0.99811965	0.037140388	0.0073835608
Japanese	Japanese	0.0060394527	0.12235224	0.06678224	0.019714275	0.043092802	0.010323052	0.026765076	0.058596242	0.967056	0.13392682	0.009376183	0.048650537	0.01917562	0.018785462	0.016286451	0.11137817	0.06530213	0.00022447848	0.027773714	0.0019488257	0.0035340777
Polish	Polish	0.28017002	0.095504485	0.101716325	0.135995	0.11200248	0.1300879	0.082343966	0.060684487	0.06533847	0.07306775	0.01310674	0.50697047	0.26609573	0.4922111	0.22566724	0.317218	0.13455448	0.14853005	0.23955145	0.076150626	0.093977824
German	Dutch	0.0016104553	0.84871393	0.1394973	0.0007815017	0.10356914	0.46626845	0.0021438925	0.027456226	0.021740666	0.00073819404	0.02548593	0.00090232876	0.045166973	0.099885605	0.044275783	0.09876289	0.06151632	0.028068727	0.017973477	0.013297754	0.037462942
Estonian	Catalan	0.012325081	0.035324715	0.04711792	0.039588016	0.10189782	0.029942818	0.0051782117	0.16730765	0.02279894	0.007419944	0.010657561	0.0428625	0.23027144	0.19993336	0.531952	0.023544516	0.07248521	0.44768968	0.03095548	0.24561742	0.55632466
Danish	Danish	0.9503653	0.016906947	0.04256366	0.15889546	0.01107459	0.083446994	0.015953066	0.0116383685	0.0066388976	0.03536805	0.007915414	0.06046156	0.018751921	0.04090182	0.033593744	0.20919845	0.012007317	0.051074903	0.083421215	0.013218192	0.01294566
Turkish	Turkish	0.005502614	0.1559828	0.13088493	0.0065717762	0.3075759	0.16426681	0.0020118007	0.17007612	0.013303995	0.013634364	0.029435948	0.10607924	0.042273182	0.5620215	0.119508974	0.027559921	0.5882885	0.058728468	0.043734945	0.31990883	0.09477597
Dutch	Dutch	0.003761069	0.5421443	0.24181873	0.0010761132	0.18871485	0.2705626	0.00339152	0.091760375	0.08798638	0.0021624672	0.017667562	0.0019822768	0.13920845	0.10682261	0.16566092	0.51333696	0.2801809	0.06976893	0.29787654	0.10603743	0.13109143
Italian	Spanish	0.004496777	0.07785349	0.06339723	0.0028401376	0.18028645	0.09344169	0.00079675013	0.4693041	0.020195326	0.00081752444	0.030986538	0.0021364314	0.1931437	0.15810919	0.6568784	0.053614642	0.15684567	0.21093258	0.09348173	0.27116773	0.28107995
German	German	0.001540124	0.16664262	0.038426057	0.00037565042	0.021629794	0.933494	0.00010056157	0.058037624	0.004023044	0.00033078034	0.004447167	0.0012208058	0.018871713	0.27139765	0.04946459	0.009948251	0.027094495	0.07134969	0.0066490667	0.08805095	0.07270283
Turkish	Russian	0.3956904	0.18093428	0.36526003	0.20878005	0.09342527	0.036114525	0.042319555	0.17199787	0.056745023	0.20498519	0.17049839	0.025232574	0.26986676	0.6021612	0.17695901	0.18477118	0.120699786	0.00851841	0.03250449	0.017775819	0.021003846
Finnish	Swedish	0.2141984	0.18681382	0.092848785	0.58284146	0.049962603	0.047661804	0.029612718	0.23058489	0.27138913	0.049394827	0.0058836313	0.048028484	0.04973969	0.13442084	0.13419679	0.62107337	0.02188673	0.014909638	0.03707695	0.07929832	0.031605337
Danish	Finnish	0.4202456	0.023315854	0.012246775	0.8578144	0.005435324	0.03546545	0.005840863	0.022923801	0.014756576	0.012366552	0.0026125505	0.19346145	0.046782866	0.04262538	0.16094609	0.057363506	0.005223883	0.087759	0.025422016	0.01177255	0.07408956
Estonian	Estonian	0.0029557194	0.23985592	0.07339949	0.0058079194	0.13722685	0.2606215	0.0017566939	0.093259156	0.025713015	0.0016700292	0.008508207	0.0037679654	0.10295886	0.49158618	0.24154179	0.04840545	0.17474957	0.67493665	0.026204536	0.10908053	0.17096318
Mandarin	Mandarin	0.0053337747	0.023735203	0.07990148	0.004216181	0.04600504	0.012578835	0.0008511196	0.10135308	0.017071057	0.0076973983	0.98046833	0.0010763599	0.040680733	0.019052243	0.0903721	0.016958138	0.065663174	0.0141143	0.013920201	0.04931876	0.03433306
